No    | English        | Vietnamese     
612   | confusing      | khó hiểu, gây bối rối
613   | confusion      | sự lộn xộn, sự rối loạn
614   | congratulations| sự chúc mưng, khen ngợi; lời chúc mưng, khen ngợi (s)
615   | congress       | đại hội, hội nghị, quốc hội
616   | connect        | kết nối, nối   
617   | connection     | sự kết nối, sự giao kết
618   | conscious      | tỉnh táo, có ý thức, biết rõ
619   | consequence    | kết quả, hậu quả
620   | conservative   | thận trọng, dè dặt, bảo thủ
621   | consider       | cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
622   | considerable   | lớn lao, to tát, đáng kể
623   | considerably   | đáng kể, lớn lao, nhiều
624   | consideration  | sự cân nhắc, sự xem xét, sự để ý sự quan tâm
625   | constant       | kiên trì, bền lòng
626   | constantly     | kiên định      
627   | construct      | xây dựng       
628   | construction   | sự xây dựng    
629   | consult        | tracứu,thamkhảo,thămdò,hỏiý kiến
630   | consumer       | người tiêu dùng
631   | contact        | sự liên lạc, sự giao thiệp; tiếp xúc
632   | contain        | bao hàm, chứa đựng, bao gồm
633   | container      | cái đựng, chứa; công te nơ
634   | contemporary   | đương thời, đương đại
635   | content        | nội dung, sự hài lòng
636   | contest        | cuộc thi,trận đấu,cuộctranh luậncuộcchiếnđấu,chiếntranh
637   | context        | văn cảnh, khung cảnh, phạm vi
638   | continent      | lục địa, đại lục (lục địa bắc mỹ)
639   | continue       | tiếp tục, làm tiếp
640   | continuous     | liên tục, liên tiếp
641   | continuously   | liên tục, liên tiếp
642   | contract       | hợp đồng,sự kýhợp đồng;kýkết
643   | contrast       | sự tương phản; làm tương phản, làm trái ngược
644   | contrasting    | tương phản     
645   | contribute     | đóng góp, ghóp phần
646   | contribution   | sự đóng góp, sự góp phần
647   | control        | sự điềukhiển,quyềnhành,quyềnlực,quyềnchỉhuy
648   | controlled     | được điều khiển, được kiểm tra
649   | convenient     | tiện lợi, thuận lợi, thích hợp
650   | convention     | hội nghị, hiệp định, quy ước
651   | conventional   | quy ước        
652   | conversation   | cuộc đàm thoại, cuộc trò chuyện
653   | convert        | đổi, biến đổi  
654   | convince       | làm cho tin, thuyết phục; làm cho nhận thức thấy
655   | cook           | nấu ăn, người nấu ăn
656   | cooker         | lò, bếp, nồi nấu
657   | cookie         | bánh quy       
658   | cooking        | sự nấu ăn, cách nấu ăn
659   | cool           | mát mẻ, điềm tĩnh; làm mát,
660   | cope           | đối phó, đương đầu
661   | copy           | bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
662   | core           | nòng cốt, hạt nhân; đáy lòng
663   | corner         | góc(tường,nhà,phố...)
664   | correct        | đúng, chính xác; sửa, sửa chữa
665   | correctly      | đúng, chính xác
666   | cost           | giá, chi phí; trả giá, phải trả
667   | cottage        | nhà tranh      
668   | cotton         | bông, chỉ, sợi 
669   | cough          | ho,sựho,tiếnghoa
670   | coughing       | ho             
671   | could          | có thể         
672   | council        | hội đồng       
673   | count          | đếm, tính      
674   | counter        | quầy hàng, quầy thu tiền, máy đếm
675   | country        | nước, quốc gia, đất nước
676   | countryside    | miền quê, miền nông thôn
677   | county         | hạt, tỉnh      
678   | couple         | đôi, cặp; đôi vợ chồng, cặp nam nữ. a couple một cặp, một đôi
679   | courage        | sự can đảm, sự dũng cảm, dũng khí
680   | course         | tiến trình, quá trình diễn tiến; sân chạy đua. of course dĩ nhiên, loạt; khoá; đợt; lớp
681   | court          | sân, sân (tennis...), tòa án, quan tòa, phiên tòa
682   | cousin         | anh em họ      
683   | cover          | bao bọc, che phủ; vỏ, vỏ bọc
684   | covered        | có mái che, kín đáo
685   | covering       | sự bao bọc, sự che phủ, cái bao, bọc
686   | cow            | con bò cái     
687   | crack          | cừ,xuấtsắc;làmnứt,làm vỡ,nứtnẻ,rạnnứt
688   | cracked        | rạn, nứt       
689   | craft          | nghề, nghề thủ công
690   | crash          | vải thô;sự rơi(máybấy),sựphásản,sụpđổ;phátantành,phávụ
691   | crazy          | điên, mất trí  
692   | cream          | kem            
693   | create         | sáng tạo, tạo nên
694   | creature       | sinh vật, loài vật
695   | credit         | sựtin,lòngtin,danh tiếng;tiền gửngânhàng
696   | creditcard     | thẻ tín dụng   
697   | crime          | tội, tội ác, tội phạm
698   | criminal       | có tội, phạm tội; kẻ phạm tội, tội phạm
699   | crisis         | sự khủng hoảng, cơn khủng hoảng
700   | crisp          | giòn           
701   | criterion      | tiêu chuẩn     
702   | critical       | phê bình, phê phán; khó tính
703   | criticism      | sựphêbình,sựphêphán,lờiphêbình,lờiphêphán
704   | criticize      | phê bình, phê phán, chỉ trích
705   | crop           | vụ mùa         
706   | cross          | câythánhgiá,nỗithốngkhổ;sựbăng qua; băng qua,vượtqua
707   | crowd          | đám đông       
708   | crowded        | đông đúc       
709   | crown          | vương miện, vua, ngai vàng; đỉnh cao nhất
710   | crucial        | quyết định, cốt yếu, chủ yếu
711   | cruel          | độc ác, dữ tợn, tàn nhẫn
712   | crush          | ép, vắt, đè nát, đè bẹp
713   | cry            | khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
714   | cultural       | (thuộc) văn hóa
715   | culture        | văn hóa, sự mở mang, sự giáo dục
716   | cup            | tách, chén     
717   | cupboard       | 1 loại tủ có ngăn
718   | curb           | kiềm chế, nén lại, hạn chế
719   | cure           | chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc
720   | curious        | ham muốn, tò mò, lạ lùng
721   | curiously      | tò mò, hiếu kỳ, lạ kỳ
722   | curl           | quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
723   | curly          | quăn, xoắn     
724   | current        | hiện hành, phổ biến, hiện nấy; dòng (nước), luống (gió)
725   | currently      | hiện thời, hiện nay
726   | curtain        | màn (cửa, rạp hát, khói, sương)
727   | curve          | đường cong, đường vòng; cong, uốn cong, bẻ cong
728   | curved         | cong           
729   | custom         | phong tục, tục lệ, thói quen, tập quán
730   | customer       | khách hàng     
731   | customs        | thuế nhập khẩu, hải quan
732   | cut            | cắt, chặt; sự cắt
733   | cycle          | chukỳ,chutrình,vòng;quayvòngtheo chukỳ,đixeđạp
734   | cycling        | sự đi xe đạp   
735   | dad            | bố, cha        
736   | daily          | hàng ngày      
737   | damage         | mốihạn,điều hại, sựthiệthại;làmhưhại,làmhỏng,gâythiệthại
738   | damp           | ẩm, ẩm ướt, ẩm thấp
739   | dance          | sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ
740   | dancer         | diễn viên múa, người nhảy múa
741   | dancing        | sự nhảy múa, sự khiêu vũ
742   | danger         | sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa
743   | dangerous      | nguy hiểm      
744   | dare           | dám, dám đương đầu với; thách
745   | dark           | tối, tối tăm; bóng tối, ám muội
746   | data           | số liệu, dữ liệu
747   | date           | ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu
748   | daughter       | con gái        
749   | day            | ngày, ban ngày 
750   | dead           | chết, tắt      
751   | deaf           | điếc, làm thinh, làm ngơ
752   | deal           | phân phát, phân phối; sự giao dịch, thỏa thuận mua bán. deal with giải quyết
753   | dear           | thân, thân yêu, thân mến; kính thưa, thưa
754   | death          | sự chết, cái chết
755   | debate         | cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi
756   | debt           | nợ             
757   | decade         | thập kỷ, bộ mười, nhóm mười
758   | decay          | tình trạng suy tàn, suy sụp, tình trạng đổ nát
759   | december       | tháng mười hai, tháng chạp
760   | decide         | quyết định, giải quyết, phân xử
761   | decision       | sự quyết định, sự giải quyết, sự phân xử
762   | declare        | tuyên bố, công bố
763   | decline        | sự suy tàn, sự suy sụp; suy sụp, suy tàn
764   | decorate       | trang hoàng, trang trí
765   | decoration     | sự trang hoàng, đồ trang hoàng, trang trí
